ticker,name,sector,index
AAF.L,Airtel Africa,Communication Services,FTSE 100
AAL.L,Anglo American,Materials,FTSE 100
ABF.L,Associated British Foods,Consumer Staples,FTSE 100
ADM.L,Admiral Group,Financials,FTSE 100
AHT.L,Ashtead Group,Industrials,FTSE 100
ANTO.L,Antofagasta,Materials,FTSE 100
AUTO.L,Auto Trader Group,Communication Services,FTSE 100
AV.L,Aviva,Financials,FTSE 100
AZN.L,AstraZeneca,Health Care,FTSE 100
BA.L,BAE Systems,Industrials,FTSE 100
BARC.L,Barclays,Financials,FTSE 100
BATS.L,British American Tobacco,Consumer Staples,FTSE 100
BDEV.L,Barratt Developments,Real Estate,FTSE 100
BEZ.L,Beazley,Financials,FTSE 100
BKG.L,Berkeley Group,Real Estate,FTSE 100
BLND.L,British Land,Real Estate,FTSE 100
BP.L,BP,Energy,FTSE 100
BRBY.L,Burberry Group,Consumer Discretionary,FTSE 100
BT.L,BT Group,Communication Services,FTSE 100
CCH.L,Coca-Cola HBC,Consumer Staples,FTSE 100
CNA.L,Centrica,Utilities,FTSE 100
CPG.L,Compass Group,Consumer Discretionary,FTSE 100
CRDA.L,Croda International,Materials,FTSE 100
DCC.L,DCC,Industrials,FTSE 100
DGE.L,Diageo,Consumer Staples,FTSE 100
DPH.L,Dechra Pharmaceuticals,Health Care,FTSE 100
ENT.L,Entain,Consumer Discretionary,FTSE 100
EXPN.L,Experian,Industrials,FTSE 100
EZJ.L,easyJet,Industrials,FTSE 100
FCIT.L,F&C Investment Trust,Financials,FTSE 100
FRES.L,Fresnillo,Materials,FTSE 100
GLEN.L,Glencore,Materials,FTSE 100
GSK.L,GSK,Health Care,FTSE 100
HIK.L,Hikma Pharmaceuticals,Health Care,FTSE 100
HL.L,Hargreaves Lansdown,Financials,FTSE 100
HSBA.L,HSBC Holdings,Financials,FTSE 100
IAG.L,International Consolidated Airlines Group,Industrials,FTSE 100
IHG.L,InterContinental Hotels Group,Consumer Discretionary,FTSE 100
III.L,3i Group,Financials,FTSE 100
IMB.L,Imperial Brands,Consumer Staples,FTSE 100
INF.L,Informa,Communication Services,FTSE 100
ITRK.L,Intertek Group,Industrials,FTSE 100
JD.L,JD Sports Fashion,Consumer Discretionary,FTSE 100
KGF.L,Kingfisher,Consumer Discretionary,FTSE 100
LAND.L,Land Securities Group,Real Estate,FTSE 100
LGEN.L,Legal & General Group,Financials,FTSE 100
LLOY.L,Lloyds Banking Group,Financials,FTSE 100
LSEG.L,London Stock Exchange Group,Financials,FTSE 100
MKS.L,Marks & Spencer Group,Consumer Discretionary,FTSE 100
MNDI.L,Mondi,Materials,FTSE 100
MNG.L,M&G,Financials,FTSE 100
MRO.L,Melrose Industries,Industrials,FTSE 100
NG.L,National Grid,Utilities,FTSE 100
NWG.L,NatWest Group,Financials,FTSE 100
NXT.L,Next,Consumer Discretionary,FTSE 100
OCDO.L,Ocado Group,Consumer Staples,FTSE 100
PHNX.L,Phoenix Group Holdings,Financials,FTSE 100
PRU.L,Prudential,Financials,FTSE 100
PSN.L,Persimmon,Real Estate,FTSE 100
PSON.L,Pearson,Communication Services,FTSE 100
REL.L,RELX,Industrials,FTSE 100
RIO.L,Rio Tinto,Materials,FTSE 100
RKT.L,Reckitt Benckiser Group,Consumer Staples,FTSE 100
RMV.L,Rightmove,Communication Services,FTSE 100
RR.L,Rolls-Royce Holdings,Industrials,FTSE 100
RS1.L,RS Group,Industrials,FTSE 100
SBRY.L,J Sainsbury,Consumer Staples,FTSE 100
SGE.L,Sage Group,Information Technology,FTSE 100
SHEL.L,Shell,Energy,FTSE 100
SKG.L,Smurfit Kappa Group,Materials,FTSE 100
SMDS.L,DS Smith,Materials,FTSE 100
SMIN.L,Smiths Group,Industrials,FTSE 100
SMT.L,Scottish Mortgage Investment Trust,Financials,FTSE 100
SN.L,Smith & Nephew,Health Care,FTSE 100
